Data File,C:\Path,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Set up Time,5/5/2022 2:53:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Position,3-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate Type,PM 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strain Type,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Number,StrainA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strain Name,StrainA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strain Number,StrainA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hour,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12
2.5,47.546,35.9537,39.4036,34.5675,26.7259,33.3088,29.8657,35.4886,36.0225,30.0634,40.5538,44.4513,44.4439,23.286,13.9031,29.5763,22.9266,14.8744,22.4188,19.631,63.212,28.5045,27.5817,30.6399,30.3979,27.2869,17.8202,12.4777,16.3038,11.0149,11,11,14.9777,19.7023,21.0352,25.5202,28.8991,13.065,13.5387,11.4364,11,11,11,11,14.4468,17.3066,20.5345,30.6129,39.4907,12.3172,11,11,26.6045,12.5719,11,11,40.4204,13.1472,18.1597,33.2866,18.9677,11,11,11,11,11,11,13.5494,16.5236,13.7211,16.2229,26.7302,17.4609,11.4796,11,11,11,11,11,11,11,14.1277,14.6767,29.3018,18.7858,15.1043,11,13.5752,11,11,11,19.3851,114.8673,12.4059,17.7711,32.756
2.75,38.5008,29.8473,28.2376,26.5457,20.6719,23.4547,21.4091,27.6362,31.3923,26.734,33.7758,40.6865,35.2591,18.6607,11,19.698,17.5264,11,18.2731,13.2876,54.2969,26.2098,26.3476,30.1892,24.5627,22.0564,11.2778,11.2879,12.6758,11,11.1787,11,12.3676,16.5507,21.4433,27.235,20.1049,12.3562,11,11,11,11,11,11,12.7869,17.5208,19.1163,31.8638,35.4205,11,11,11,25.05,11,11,11,31.1518,15.028,20.8582,34.4255,15.5553,12.1585,11,11,11,11,11,11,17.903,11.5089,16.4227,27.7336,19.3199,14.6326,11,11,11,11,11,11,11,18.3304,15.7586,33.5168,22.2173,22.2317,11,20.2302,11.2567,11,11,23.6582,114.5526,17.1579,19.919,36.3782
3,37.5053,27.2647,28.1638,26.444,22.7928,24.2864,22.7438,28.6136,28.2889,29.2104,34.588,41.943,32.557,18.832,11,20.6489,20.4138,11,18.3447,15.6117,52.7969,26.8475,23.7666,32.0147,22.7977,20.6892,12.7893,11,11.0295,11,12.9679,11,14.2631,18.5857,21.9142,28.1175,19.8365,12.3117,11,11,11,11,11,11,12.9636,19.0481,19.769,34.0202,34.7901,13.3832,11,11,26.0304,11,11,11,29.1509,12.8488,20.4084,37.6192,16.7128,12.6434,11,11,11,11,11,14.0068,18.4081,12.3844,18.2176,29.8816,20.2839,13.4422,11,11,11.8261,11,11,11,11,19.505,18.8848,35.0373,22.163,23.0212,11,21.6892,12.2559,11,11,25.9061,116.8774,18.7821,20.0401,39.4089
3.25,46.7463,35.7074,37.7842,32.9296,27.6489,34.4609,32.0056,36.6069,37.036,29.0101,38.6531,45.1784,41.6595,24.79,15.2619,26.593,23.7066,13.2945,21.0942,17.6141,59.5236,29.4891,24.477,30.8507,27.7945,28.1437,19.4058,11.4415,16.097,11,11,11.3122,14.7527,17.9196,21.6594,24.246,26.9996,13.5967,15.3922,11,11,11,11,11,12.8233,16.1746,20.3289,30.5575,38.044,11.4236,11,11,27.0158,11.8509,11,11,29.9571,11,17.5707,33.6761,16.5412,11,11,11,11,11,11,13.5584,16.8074,12.5006,14.8254,26.9005,17.5263,11.9144,11,11,11,11,11,11,11,14.3473,14.2126,29.0039,16.4121,15.5014,11,13.8956,11,11,11,20.7858,118.1593,12.9552,14.9299,32.9061
3.5,36.5442,28.3743,26.7532,23.0524,23.0925,24.9794,23.0883,26.2314,30.0207,28.3433,34.4238,42.9633,31.5335,16.7692,11,17.9018,20.0201,11.268,17.4066,15.313,51.2094,27.6083,25.6512,31.9243,22.313,18.9173,14.1691,11,11,11,11.0149,11,12.8396,16.8715,23.3109,29.4435,19.9334,12.2314,11,11,11,11,11,11,12.1145,18.7483,18.7149,34.842,35.2362,11,11,11,25.8707,11.4694,11,11,21.3096,11.3076,19.6341,39.9747,15.4594,11,11,11.6327,11,11,11,15.2803,21.4238,15.3216,19.4871,29.9685,19.4054,14.669,11,11,11.5106,11,11,11,11,19.7404,18.2472,37.0181,20.4435,24.9807,12.2323,21.4249,12.8428,11.0308,11,24.4363,117.4037,16.5612,18.6903,39.4692
3.75,43.7534,34.2182,34.1588,30.6058,26.5275,32.3612,29.4836,35.169,36.1102,31.4846,37.1669,47.2965,41.1324,21.6519,11.8601,25.0722,24.3344,12.4157,22.9263,18.5027,55.7691,30.4462,25.8595,31.8134,26.4421,24.2161,16.844,13.3318,14.5899,11.8588,16.0316,11.0893,15.1775,18.5639,23.309,29.8465,28.1244,15.6523,13.5749,11,11,11,11,11,15.6427,20.0813,21.2526,34.1682,40.7081,11.9057,11.5899,11,30.3202,13.0807,11,11,25.3262,11.6423,20.5072,38.9482,18.8652,13.5287,11,11,11,11,11,15.4635,20.9181,14.557,17.0685,29.0308,19.7798,14.2266,11,11,11.7663,11,11,11,11,19.161,17.959,34.5285,21.058,21.679,12.6203,19.8213,11.3626,11,11,25.4033,120.2957,17.0563,17.4476,37.2675
4,46.8162,37.4966,37.0931,32.6315,26.8407,32.7043,30.3084,36.2457,36.4942,33.1237,42.878,46.9585,42.9275,24.7297,12.9435,27.3974,25.8507,16.0119,22.4213,20.4268,57.7563,31.6858,27.8165,32.9325,29.6803,29.9152,19.3285,14.2628,15.8844,12.2753,13.8447,11.0298,16.0585,19.7858,23.8313,29.0592,28.5276,16.7385,16.0326,11,11,11,11,11.5784,14.7188,18.8449,24.11,34.4637,41.1783,13.8468,12.4112,11,30.6302,11.9704,11,11,23.7667,11.5266,20.4673,38.7005,18.8698,15.7635,11,14.3627,11,11,11,16.8175,19.6064,14.1525,18.1268,31.0499,19.7276,16.0056,11,11,12.2595,11,11,11,11,16.7315,15.5028,33.475,19.948,20.5767,13.6038,16.193,12.011,11,11,22.331,121.2383,18.7386,18.2741,37.7896
4.25,41.4017,30.0067,29.4695,27.6915,21.6519,27.6292,23.5389,29.946,27.6688,26.7032,33.6287,40.0982,36.7734,18.1774,11,18.4511,22.1391,11,16.2398,12.8808,51.8625,24.5512,22.976,27.6597,24.7968,20.4093,11.7764,11,11,11,11,11,11,14.6086,18.4413,25.0221,21.9308,11,11,11,11,11,11,11,11.9857,15.6034,16.9179,29.0502,34.8135,11,11,11,28.6016,11,11,11,15.3974,11,15.8004,35.5568,13.1393,11,11,11,11,11,11,13.2514,16.0005,11,14.2151,25.3626,16.4315,11,11,11,11,11,11,11,11,14.1989,13.2468,30.7909,16.4436,18.4312,11,16.323,11,11,11,19.8038,116.5139,11.9628,14.5255,34.9673
4.5,48.257,36.6499,38.2013,35.2087,27.9899,34.7952,29.5075,35.5012,36.8296,32.7003,39.7568,46.0026,44.5332,24.925,14.5308,26.6823,26.8153,17.7085,22.8643,17.5136,58.3334,30.6539,27.6792,32.2478,29.6467,27.8371,18.0641,15.313,16.1386,12.5767,13.4177,11.9083,16.6155,19.8784,23.298,30.6509,30.1388,17.9535,16.5794,12.8177,11,11,11,11.0445,15.3887,20.8604,22.9052,33.4595,39.87,16.3627,12.138,12.5251,32.0888,13.9613,11,11,19.4312,11.3961,21.5227,41.4528,21.9835,15.9917,12.1012,15.7093,12.3517,11,11.1175,16.8469,22.9428,16.7543,19.7011,30.3944,23.5895,17.7802,14.7824,11.6022,14.0313,11,11,11.3682,12.7201,21.7969,18.3912,36.0559,24.2771,26.3461,17.6156,21.7364,15.8757,13.3348,11.9037,26.7686,123.2408,19.3005,19.609,39.2013
4.75,48.1125,40.3741,41.0983,38.8749,28.3729,37.0701,33.6286,39.8221,39.3485,35.9524,44.5374,50.7044,46.1673,25.5911,14.344,31.0195,28.0969,16.511,25.2621,19.9853,60.0825,33.3256,28.81,35.251,32.1275,29.9832,20.3851,15.0663,19.0205,12.5257,14.1447,13.124,17.4818,20.5245,24.6122,30.243,31.2466,17.0207,17.4018,11.2847,11,11,11,13.1547,18.2964,21.584,24.0706,35.2728,42.0994,14.8877,13.2666,13.3463,32.7394,13.7747,11,11,21.4767,12.8474,19.9534,40.3811,21.039,14.701,12.4147,14.596,11,11,11,19.6195,21.7168,15.6426,18.3061,31.0544,20.1284,17.4653,12.8815,13.1317,11,11,11,11.5117,11,17.4896,17.3616,33.925,21.0291,20.3264,11,14.5293,13.8218,11,11.9429,22.8682,123.5179,16.5058,18.7111,39.7282
5,51.147,41.3507,45.3995,39.5456,32.9682,38.7737,35.7619,41.9197,43.0203,35.1162,43.9738,50.2848,48.2204,29.6293,16.4618,32.9599,31.2409,18.1768,24.9799,20.1263,62.7147,34.559,30.1604,35.5286,33.528,32.1423,23.322,18.8934,20.3374,15.5252,15.735,15.0151,18.2597,24.6717,26.4997,29.1417,33.3676,18.1626,20.0259,13.4224,11,11,11.9028,12.7999,18.1987,20.5569,24.5244,34.9784,43.2837,14.596,13.6908,15.7119,36.0836,12.764,11,11,18.8034,11.0147,19.8228,41.4641,22.9096,15.5115,13.0785,15.9198,11,11,11,19.4132,21.8512,17.5826,18.7503,31.5496,23.7297,16.7106,12.3663,12.5126,11,11,11,11.1179,11.5384,18.9789,18.0782,33.7555,23.111,23.4106,13.4198,18.2721,13.1316,11,11.178,24.1821,123.5865,18.3404,19.5726,36.7194
5.25,42.1321,33.695,31.4265,30.9598,24.4326,31.864,26.129,30.8911,34.8506,32.515,40.4356,49.7826,38.308,23.3806,11,22.1,26.7321,15.4898,21.9387,15.7556,55.5205,32.277,27.3204,34.0174,28.3195,22.842,16.6999,14.4321,13.6653,12.0533,14.4541,13.7002,16.7078,20.0664,25.6652,35.2024,24.6193,18.4033,13.5542,11,11,11,11.2359,12.3619,16.269,22.1697,24.2706,38.3924,38.9882,13.9369,11,11,34.5878,12.8021,11,11,11.3627,12.1535,22.6438,46.8099,21.507,15.0604,11,16.3231,11,11,12.4926,19.1849,24.0771,17.7488,22.2576,35.3915,24.5314,18.7666,12.4367,12.7297,15.3381,11,11,11,12.5819,22.4345,21.0561,40.575,25.5965,28.2874,15.2755,25.0245,17.8259,16.6591,13.2014,28.0276,123.35,21.2797,21.4528,45.9845
5.5,48.7993,36.4991,39.7849,34.9902,29.9776,36.317,31.7641,38.1335,37.7124,33.2869,42.0954,51.2248,45.1659,25.1159,14.1421,27.5538,30.2323,15.7652,23.0483,17.5454,59.6681,32.7143,26.5686,30.9927,29.8655,28.9309,18.803,16.4386,17.0883,12.7468,13.231,11.6697,15.3631,20.137,24.4273,29.7169,32.4431,16.0639,16.266,11,11,11,11,12.1535,15.5403,19.6974,21.8168,32.5723,39.3757,15.0279,11.2574,11.163,33.7014,11,11,11,15.8167,11,18.9599,42.9838,19.3411,13.4784,11,13.2941,11,11,11,17.5297,20.8504,15.8142,17.5912,29.4127,20.1241,13.9001,11,11,11,11,11,11,11,17.8227,17.149,32.8358,20.1365,22.7122,12.5925,17.8371,12.2357,11,11,22.5214,120.9991,15.3261,17.3613,38.5308
5.75,38.1409,28.1335,26.5814,24.2441,20.3228,25.1054,22.6902,27.8003,30.4913,28.4836,35.3691,46.0702,34.3257,17.3477,11,17.5336,24.9969,12.2121,17.2379,11.8804,53.3033,26.4813,25.8322,30.1073,23.1896,19.5356,11,11.4737,12.3033,11,12.4947,11,13.8819,16.2995,22.127,32.9183,21.7068,14.4409,11,11,11,11,11,11,13.7092,18.8345,22.0299,33.7726,36.1245,11,11,11,30.5022,11,11,11,11,11,19.3899,46.4167,17.467,14.3275,11,13.0076,11,11,11,13.9341,21.3182,15.7671,19.7079,31.3062,22.0789,12.2489,11.2587,11,11.6647,11,11,11,11,21.0965,18.2603,39.4034,24.4003,25.5907,15.3785,24.1525,13.5037,13.8735,11,25.6807,122.3253,20.4744,19.5234,43.245
6,41.9169,33.3224,32.5124,29.7203,23.2239,29.9191,27.6165,31.5985,33.5083,30.5813,36.7896,48.9802,37.769,20.1113,11,22.0791,27.798,14.2909,19.8912,16.2397,56.2942,28.8253,26.6976,30.9922,26.727,21.9673,14.052,12.1979,16.0028,11.594,11.1045,11,13.6662,16.954,24.373,32.7204,25.3088,17.0944,11.6293,11,11,11,11,11,15.8357,19.5061,23.3025,35.0084,37.4302,11.1209,11,11,32.3051,11,11,11,12.4209,11,19.0686,46.6932,18.2126,15.7562,11,14.2523,11,11,11.3817,13.9116,20.7619,14.4242,21.2358,31.9204,22.4738,14.2522,12.2233,11,12.351,11,11,11,11,20.6033,15.868,38.6937,22.7745,26.1898,14.3642,20.9307,15.7653,13.3223,12.6134,23.2764,123.9084,19.5726,18.5285,41.9245
6.25,46.4105,35.9656,35.1406,30.3917,24.5588,31.9181,24.3113,31.2286,33.8288,27.5546,35.5161,46.7028,42.8349,26.7625,11.6538,28.5013,29.9236,16.4396,19.2792,13.8973,55.7689,25.7676,24.984,29.8178,29.9209,24.9352,15.5582,14.5557,15.7815,11,11,11,12.6713,17.6196,21.7602,28.6421,29.6322,19.0621,14.8632,11.5694,11,13.5514,11,11,15.016,15.7008,17.4055,29.3301,38.2802,12.6511,11.6036,11.4558,36.8352,11,11,11,11.2747,11,18.7517,42.1639,22.3296,15.8702,11.5867,16.0252,11,11,11,15.177,18.211,15.6337,16.1663,24.7875,21.5303,16.7292,11,12.2724,12.5359,11,11,11,11,18.2379,14.2135,33.5731,25.4382,28.5045,18.0006,23.3036,16.0751,12.3611,12.4399,21.1857,121.5418,18.9406,16.47,37.595
6.5,52.9089,42.9269,44.9452,40.7519,31.9652,41.7452,37.1749,41.9783,41.7325,35.7292,45.2689,54.5668,48.5769,27.6314,13.9855,35.4242,34.9191,17.5866,25.9697,19.6716,63.131,31.822,26.8112,31.0917,35.5662,30.9951,22.1279,16.8626,22.9083,14.5315,12.0356,14.0428,15.2163,21.107,21.3879,29.6589,34.4218,20.9224,19.0634,11,11,13.4653,11,11.7004,16.414,18.7847,22.6251,31.2795,39.957,14.0488,12.4961,11,36.9926,11,11,11,12.3733,11,16.4328,46.0225,21.9888,15.021,11.5776,14.2387,11,11,11,16.1066,18.377,14.0171,16.0446,29.4876,19.778,15.0069,11,11,11,11,11,11,11,14.7704,14.3336,31.3319,21.6379,18.9722,11,15.3834,11,11,11,18.9129,121.9815,12.7991,14.9728,34.9201
